nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
Taberna Antonio Sánchez,339,"3,5",1748,"['10', '25']","['Mediterránea', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle del Meson de Paredes 13, 28012 Madrid España","['24', '22', '25', '68', '65']",
Casa Sushi,97,"4,0",1749,,"['Japonesa', ' Sushi', ' Asiática']",,"Calle Padilla 58, 28006 Madrid España","['3', '2', '6', '36', '45']",
El Imperfecto,120,"4,0",1750,,"['Abierto hasta tarde', ' Bebidas']",,"Plaza Matute 2, 28012 Madrid España","['3', '4', '8', '28', '38']",
Restaurante Haroma,102,"4,0",1773,"['35', '50']","['Mediterránea', ' Europea', ' Española', ' Saludable']","['Desayuno', ' Comidas', ' Cenas', ' Brunch']","Calle de Diego de Leon 43 Restaurante del Hotel Heritage Madrid Hotel, 28006 Madrid España","['9', '3', '7', '21', '46']",
Amphora Madrid,89,"4,0",21,"['8', '98']","['Mediterránea', ' Española', ' Saludable']","['Desayuno', ' Comidas', ' Cenas']","Avenida de Leganés, 54, 28923 Alcorcón España","['9', '8', '3', '4', '63']",
Monster Sushi Zurbano,16,"5,0",1774,,"['Japonesa', ' Fusión japonesa']",,"Calle Zurbano 26, 28010 Madrid España","['0', '0', '0', '0', '15']",
Igo Ramen plaza luna,94,"4,0",1777,"['4', '10']","['Japonesa', ' Asiática', ' Sopas']","['Opciones veganas', ' Opciones vegetarianas']","Calle Tudescos 4, 28004 Madrid España","['8', '1', '4', '22', '34']",
Meraki,185,"4,0",1776,"['10', '25']","['Mediterránea', ' Fusión', ' Española']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Avenida Carabanchel Alto, 138, 28054 Madrid España","['19', '10', '22', '47', '86']",
Impasta,66,"4,5",1778,"['6', '14']","['Italiana', ' Europea', ' Mediterránea']",['Opciones vegetarianas'],"Calle Hileras 2, 28013 Madrid España","['6', '1', '2', '6', '28']",
Corazón Agavero Mezcaloteca,59,"4,5",1799,"['3', '15']","['Mexicana', ' Latina', ' Bar']",['Opciones vegetarianas'],"Calle del Humilladero 28, 28005 Madrid España","['3', '1', '3', '6', '42']",
La Bonita Madrid,140,"4,0",1800,"['15', '25']","['Internacional', ' Mediterránea', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle de Rosario Pino 15, 28020 Madrid España","['16', '6', '13', '39', '62']",
Casa Ciriaco,238,"4,0",1801,"['19', '43']","['Mediterránea', ' Europea', ' Española']",['Opciones sin gluten'],"Calle Mayor 84 28013, 28013 Madrid España","['23', '24', '13', '39', '88']",
Caripen Bistro,194,"4,0",1802,"['30', '60']","['Italiana', ' Francesa', ' Mediterránea', ' Europea']","['Cenas', ' Abierto hasta tarde']","Plaza de la Marina Espanola, nº4, 28013 Madrid España","['13', '16', '28', '53', '71']",
Pinsa Pizza,54,"4,5",1803,"['15', '20']","['Pizza', ' Italiana']",['Opciones vegetarianas'],"Calle de María de Molina 10, 28006 Madrid España","['3', '0', '0', '16', '32']",
Loureiro Taberna Cocina Gallega,39,"4,5",1805,,['Española'],,"Calle Amalia 26, 28020 Madrid España","['0', '0', '0', '9', '26']",
La Mordida Princesa,269,"3,5",1804,"['15', '35']","['Mexicana', ' Latina', ' Centroamericana']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle Princesa 3, 28008 Madrid España","['24', '21', '46', '88', '78']",
La Polla Del Pollo,19,"5,0",1828,,"['Española', ' Mediterránea']",,"Calle Zurbano 13, 28010 Madrid España","['0', '0', '0', '1', '14']",
Twister Rock&Food,35,"4,5",24,,['Americana'],,"Avenida las Retamas 80 With Calle la Higuera, 28922 Alcorcón España","['1', '1', '1', '5', '27']",
Costanza Café,41,"5,0",1562,"['15', '25']","['Latina', ' Americana', ' Mediterránea', ' Española', ' Fusión', ' Saludable']","['Desayuno', ' Brunch', ' Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle del Pez 4, 28004 Madrid España","['0', '0', '0', '0', '21']",
La Ventana de Flavia,146,"4,0",1829,"['10', '40']","['Italiana', ' Mediterránea']",['Opciones sin gluten'],"Calle Lagasca 64, 28001 Madrid España","['11', '5', '8', '18', '78']",
Restaurante Green II,108,"4,0",1830,,"['Mediterránea', ' Europea', ' Española']",,"Avenida del Cardenal Herrera Oria 1, 28034 Madrid España","['7', '5', '12', '24', '55']",
Taberna Los Cuatro Robles,208,"4,0",1831,"['9', '14']","['Mediterránea', ' Española']",['Opciones vegetarianas'],"Plaza Celenque 1, 28013 Madrid España","['15', '14', '13', '50', '45']",
El Oso y El Madrono,65,"4,0",1832,,['Española'],,"Calle Bolsa 4, 28013 Madrid España","['0', '0', '8', '12', '18']",
Pizzeria Piazza Roma,36,"5,0",1855,"['3', '10']","['Italiana', ' Pizza', ' Mediterránea']",['Opciones vegetarianas'],"Avenida Betanzos 37 Local 7, 28029 Madrid España","['0', '0', '1', '5', '27']",
Restaurante La Penela,174,"4,0",30,,['Española'],,"Calle Estafeta N 2 Plaza de la Fuente, 28109 Alcobendas España","['14', '10', '22', '60', '58']",
Tagomago Madrid,159,"4,0",1856,"['15', '25']","['Mediterránea', ' Europea', ' Española', ' Internacional', ' Contemporánea']",['Opciones veganas'],"C/Salustiano Olozaga 12, 28001 Madrid España","['15', '9', '21', '36', '65']",
Restaurante Anjana,27,"3,5",5818,"['12', '35']","['Española', ' Mediterránea', ' Asador', ' Sopas']","['Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle Pio Baroja Nº 10, 28009 Madrid España","['8', '1', '2', '4', '11']",
Dokdo Korea,27,"5,0",1857,"['3', '24']","['Asiática', ' Coreana']","['Opciones vegetarianas', ' Opciones veganas']","Calle Caños Del Peral Ópera, 28013 Madrid España","['0', '0', '2', '1', '21']",
Terra Nostra,53,"4,5",9,,"['Pizza', ' Mediterránea', ' Española']",,"Paseo Maria Lejarraga 5 Local 7, 28905 Getafe España","['1', '2', '3', '13', '34']",
CAPON by Jhosef Arias,56,"4,5",1858,"['15', '25']","['Peruana', ' Latina', ' China', ' Japonesa', ' Española', ' Sudamericana']","['Comidas', ' Cenas', ' Bebidas']","Calle de San Isidoro de Sevilla 4, 28005 Madrid España","['1', '2', '5', '14', '33']",
Restaurante Fogonxito,50,"4,5",29,"['8', '20']","['Mexicana', ' Centroamericana', ' Sudamericana']","['Comidas', ' Cenas']","Calle de la Iglesia 1, 28220 Majadahonda España","['1', '2', '4', '12', '31']",
Bodegas El Maño,31,"4,5",1880,,['Española'],,"Calle de la Palma 64 Malasaña, 28015 Madrid España","['1', '0', '1', '6', '11']",
Picalagartos Sky Bar & Restaurant,582,"3,5",1881,"['25', '50']","['Mediterránea', ' Europea', ' Española']","['Comidas', ' Cenas']","C/ Gran Vía 21 Ubicado en el hotel NH Gran Vía Collection, 28013 Madrid España","['86', '41', '44', '114', '177']",
Pristino,81,"4,0",1882,"['33', '43']","['Española', ' Mediterránea']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Paseo de Eduardo Dato 8, 28010 Madrid España","['5', '6', '7', '16', '47']",
TapasSentao,181,"4,0",1883,"['14', '29']","['Mediterránea', ' Bar', ' Española', ' Europea']","['Comidas', ' Cenas', ' Desayuno', ' Bebidas']","Madrid, 28011 Madrid España","['12', '10', '10', '50', '63']",
Bodega Salvaje,41,"4,5",1884,,"['Mediterránea', ' Española', ' Pub con cerveza artesanal', ' Bar', ' Street food / Comida en la calle']",,"Calle de Jaime El Conquistador 25, 28045 Madrid España","['1', '1', '3', '5', '31']",
Grill 77,41,"4,5",1885,"['20', '40']","['Restaurante de carne', ' Latina', ' Barbacoa']","['Comidas', ' Cenas']","Paseo De Los Melancólicos, 32, 28005 Madrid España","['3', '0', '1', '3', '32']",
Casa Vecchia,25,"5,0",1887,"['6', '12']",['Italiana'],['Opciones vegetarianas'],"Calle de López de Hoyos, 81 Mercado de Prosperidad, 28002 Madrid España","['0', '0', '0', '4', '14']",
Shao Grill,37,"4,5",1908,"['7', '38']","['Barbacoa', ' Japonesa']","['Comidas', ' Cenas']","Encomienda 10, 28012 Madrid España","['0', '2', '0', '5', '29']",
Arepa Ole Chueca,185,"4,0",1907,"['5', '12']","['Caribeña', ' Latina', ' Comida rápida', ' Venezolana']","['Comidas', ' Cenas', ' Brunch']","Calle Pelayo 2, 28004 Madrid España","['13', '8', '20', '38', '91']",
La Machina de Puertochico,96,"4,0",30,,"['Mediterránea', ' Española']",,"Crtra. Pozuelo a Majadahonda, 48 Local 17, 28220 Majadahonda España","['2', '4', '16', '45', '28']",
Restaurante Té Oriental,232,"4,0",1909,,"['China', ' Japonesa', ' Sushi', ' Asiática']",,"Calle Lopez de Hoyos 446, 28043 Madrid España","['18', '10', '37', '96', '62']",
La Txulapona,142,"4,0",1910,"['30', '40']",['Española'],"['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle de Arturo Soria 126 Centro Comercial Arturo Soria Plaza, 28043 Madrid España","['12', '10', '14', '33', '66']",
Peter Rabbit & Friends,84,"4,0",1911,,['Española'],,"Avenida Peseta 50, 28054 Madrid España","['3', '3', '9', '33', '34']",
Bodegas Casas,70,"4,5",1912,,"['Española', ' Bar', ' Pub']",,"Avenida Ciudad de Barcelona 23 Menendez Pelayo, 28007 Madrid España","['2', '2', '3', '27', '34']",
Casa Galleta,132,"4,0",1934,,"['Mediterránea', ' Española']",,"Castelló 12, 28001 Madrid España","['9', '7', '18', '45', '39']",
Beefcious Galileo,57,"4,5",1933,"['9', '18']","['Española', ' Barbacoa']",['Opciones sin gluten'],"Calle Galileo 12, 28015 Madrid España","['2', '2', '1', '12', '39']",
El Perro Salvaje,70,"4,5",1935,,['Americana'],,"Calle de Felipe V 2, 28013 Madrid España","['3', '1', '10', '7', '45']",
JUNGLEKING - Food Monarchy,938,"5,0",53,"['10', '30']","['Americana', ' Internacional', ' Europea', ' Saludable']",,"C. del Marqués Viudo de Pontejos, 15, 28012 Madrid España","['4', '2', '9', '29', '588']",
Vegania,39,"4,5",1936,,"['Saludable', ' Pub con cerveza artesanal']",,"Calle Nuestra Senora de la Luz 62, 28047 Madrid España","['0', '1', '0', '8', '30']",
Thani - Cevicheria,104,"4,0",1937,"['3', '20']",['Peruana'],"['Comidas', ' Cenas', ' Bebidas']","C. de San Leonardo, 7 A lado del Hotel Riu, 28015 Madrid España","['6', '9', '12', '34', '34']",
Inari Moraleja,164,"4,0",33,,"['Japonesa', ' Sushi', ' Asiática']",,"Calle Azalea 1, 28109 Alcobendas España","['14', '4', '16', '64', '64']",
Alexs Slow Smoked Bbq,49,"4,0",1938,,"['Americana', ' Barbacoa']",,"Avenida de Manuel Fraga Iribarne 35 Valdebebas, 28055 Madrid España","['1', '0', '8', '10', '25']",
Hamburguesa Nostra,354,"3,5",1958,,"['Americana', ' Comida rápida']",,"Plaza de Callao, 1 Gourmet Experience Gran Vía, 28013 Madrid España","['32', '22', '47', '100', '72']",
Tres Bocas - Santa Ana,28,"5,0",1959,"['8', '21']","['Mediterránea', ' Española', ' Fusión', ' Argentina']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Núñez de Arce 6, 28012 Madrid España","['0', '0', '0', '5', '22']",
La Fornia,58,"4,5",1960,,"['Mediterránea', ' Española']",,"Calle Apostol Santiago 6, 28017 Madrid España","['2', '2', '1', '20', '31']",
The Clover House,175,"4,0",1961,,"['Europea', ' Americana', ' Irlandesa', ' Pub restaurante', ' Bares para comer']",,"Calle Campezo 14, 28022 Madrid España","['24', '16', '18', '18', '82']",
Muyummy - Casual Food,26,"4,5",7,"['12', '25']","['Internacional', ' Asiática']","['Comidas', ' Cenas', ' Bebidas']","Calle de la Virgen de la Cabeza 26, 28821 Coslada España","['0', '0', '3', '2', '21']",
Le Dodo Bistro,121,"4,0",1962,"['8', '25']","['Asiática', ' Mediterránea', ' Europea', ' Española']",['Opciones vegetarianas'],"Calle Victor Hugo, 1 esquina con calle Reina, 28004 Madrid España","['5', '4', '16', '42', '32']",
Cerveceria Sol Mayor,203,"4,0",1963,,"['Bar', ' Mediterránea', ' Española']",,"Calle Postas 5 34 91 521 72 18, 28012 Madrid España","['21', '10', '24', '45', '52']",
Toque de Sal,226,"3,5",1985,,"['Mediterránea', ' Europea', ' Española']",,"Calle Ponzano 46, 28003 Madrid España","['16', '13', '46', '80', '62']",
La Sucursal Chamberí,117,"4,0",1984,"['15', '20']","['Mediterránea', ' Española']",['Opciones sin gluten'],"Calle Sandoval 4, 28010 Madrid España","['7', '6', '13', '27', '51']",
El Escaldón,223,"4,0",1987,,"['Mediterránea', ' Española']",,"Calle Nuncio 17 Esquina Pretil de Santisteban, 28005 Madrid España","['22', '7', '19', '51', '90']",
La Penca MX,26,"5,0",34,"['10', '20']","['Mexicana', ' Latina', ' Internacional', ' Española']","['Comidas', ' Cenas', ' Bebidas']","Calle de Ruperto Chapí, 12, 28100 Alcobendas España","['1', '0', '0', '1', '23']",
La Tasca de Ventura,252,"3,5",1986,"['12', '50']","['Mediterránea', ' Europea', ' Española']","['Opciones vegetarianas', ' Opciones veganas']","Calle Ventura Rodriguez 9, 28008 Madrid España","['21', '20', '36', '55', '57']",
O'Grove,124,"4,0",1988,,"['Española', ' Marisco']",,"Calle Fernan Gonzalez 54, 28009 Madrid España","['9', '3', '10', '55', '39']",
Centro Riojano,95,"4,0",1989,,"['Española', ' Mediterránea']",,"C/Serrano 25, 1º, Madrid España","['2', '4', '14', '36', '33']",
LaLanda,151,"4,0",2012,"['16', '27']","['Mediterránea', ' Española', ' Europea']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle Puerto Rico 35, 28016 Madrid España","['8', '7', '14', '44', '72']",
Bresca,85,"4,0",2014,"['2', '15']","['Italiana', ' Pub con cerveza artesanal', ' Pizza', ' Mediterránea', ' Saludable']",['Opciones vegetarianas'],"Calle Fuencarral 105, 28004 Madrid España","['5', '2', '11', '23', '33']",
Restaurante Vegetariano,71,"4,0",2015,,['Europea'],,"Calle Santiago 9, 28013 Madrid España","['0', '3', '8', '22', '23']",
Empanadas Malvón,17,"5,0",2016,,['Argentina'],,"Paseo de las Delicias 65 Bis, 28045 Madrid España","['0', '0', '0', '0', '16']",
Trinakria,24,"5,0",2017,,"['Pizza', ' Italiana', ' Mediterránea', ' Siciliana', ' Del sur de Italia']",,"Calle de Clara del Rey 14, 28002 Madrid España","['0', '0', '0', '4', '17']",
La Lonja de Pozuelo,149,"4,0",27,"['25', '50']","['Restaurante de carne', ' Española', ' Asador']","['Comidas', ' Cenas']","Via Dos Castillas, 9, 28223 Pozuelo de Alarcón España","['10', '10', '23', '42', '61']",
Sakai,37,"4,5",2018,"['12', '20']","['Asiática', ' Sushi', ' Japonesa']","['Opciones vegetarianas', ' Opciones veganas']","Calle Aragón, 8, 28002 Madrid España","['2', '0', '2', '4', '26']",
Le Club Sushita,114,"4,0",2042,"['25', '30']","['Japonesa', ' Internacional', ' Asiática', ' Fusión', ' Fusión japonesa', ' Sushi']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Alcalá, 63, 28014 Madrid España","['12', '7', '8', '30', '40']",
Restaurante Santamago,97,"4,0",2043,,['Española'],,"Calle del Principe Carlos 22 Esquina Alcalde Aristizabal Manchon, 28050 Madrid España","['5', '7', '14', '21', '50']",
Txacoli,118,"4,0",2045,,"['Europea', ' Española', ' Mediterránea']",,"Calle del Cardenal Silíceo 17, 28002 Madrid España","['7', '8', '9', '35', '53']",
Pipa & Co,996,"3,5",2044,"['15', '20']","['Mediterránea', ' Europea', ' Española', ' Internacional', ' Contemporánea']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Paseo Habana 105, 28036 Madrid España","['105', '78', '230', '304', '258']",
La Espumosa Terraza MADRID,92,"4,0",2046,"['6', '19']","['Mediterránea', ' Saludable', ' Pub restaurante']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle de Santa Engracia 60 Entrada Glorieta del Pintor Sorolla, 28010 Madrid España","['15', '2', '4', '13', '44']",
Restaurante Bam Bam,87,"4,0",2047,"['10', '50']","['Española', ' Saludable', ' Fusión']","['Comidas', ' Cenas']","Calle Poeta Joan Maragall 23, 28020 Madrid España","['8', '9', '3', '10', '54']",
La Pulpería De Narváez,36,"4,5",2048,,"['Marisco', ' Mediterránea', ' Española']",,"Narváez 72, 28009 Madrid España","['2', '1', '3', '4', '21']",
El Cosaco,266,"3,5",2067,,"['Europea', ' Rusa']",,"Plaza Paja 2, 28005 Madrid España","['21', '17', '41', '92', '63']",
Central Mexicana Restaurante&Tequila,300,"3,5",28,"['25', '40']","['Mexicana', ' Latina']",['Opciones vegetarianas'],"Calle Atenas 4 Local 2, 28224 Pozuelo de Alarcón España","['24', '21', '58', '110', '80']",
Taberna el Zorzal,67,"4,0",2068,,"['Mediterránea', ' Española', ' Saludable']",,"Calle de Santa Clara 10, 28013 Madrid España","['2', '1', '10', '21', '24']",
Aroma and Bread,44,"4,5",.º 75,,['Café'],,"Calle Apodaca 10, 28004 Madrid España","['1', '3', '3', '5', '28']",
Rincon De Ati,207,"4,0",2069,,['Española'],,"Calle Cava de San Miguel 4, 28005 Madrid España","['10', '3', '12', '20', '40']",
Casa Corrochano,93,"4,0",2071,"['20', '40']",['Española'],"['Opciones vegetarianas', ' Opciones sin gluten']","Paseo Tierra de Melide, 38, 28050 Madrid España","['5', '1', '12', '33', '41']",
Barinka,38,"4,5",2072,"['20', '35']","['Peruana', ' Latina', ' Mediterránea', ' Saludable']",['Opciones vegetarianas'],"Calle de la Bolsa, 4, 28012 Madrid España","['2', '0', '2', '2', '22']",
El Establo Taberna Madrileña,70,"4,5",2096,,['Española'],,"Costanilla Santiago 2, 28013 Madrid España","['0', '2', '3', '8', '45']",
Orale Compadre,259,"3,5",2095,"['31', '38']","['Mexicana', ' Latina']",['Opciones vegetarianas'],"Calle Pradillo 30, 28002 Madrid España","['22', '19', '51', '91', '67']",
El Gran Cantábrico,21,"4,5",2097,"['3', '30']","['Marisco', ' Española', ' Bares para comer']","['Cenas', ' Comidas']","Calle De Jesús 4, 28014 Madrid España","['1', '0', '0', '1', '9']",
Kaldea,16,"5,0",2100,,"['Española', ' Comedor', ' Mediterránea']",,"4 Calle De Castelló, Madrid España","['0', '0', '0', '2', '12']",
Casa Fidel,170,"3,5",2098,,"['Mediterránea', ' Española']",,"Calle Escorial 6, 28004 Madrid España","['15', '14', '26', '42', '52']",
Ogs Hyped Burgers,15,"5,0",2099,,['Americana'],,"C/ De La Reina 9, 28004 Madrid España","['0', '0', '0', '0', '15']",
Cerveceria Rio Sol,38,"4,5",2103,,['Española'],,"Carrera San Francisco 12, 28005 Madrid España","['2', '1', '1', '5', '20']",
Rugantino,152,"4,0",2120,,"['Italiana', ' Europea']",,"Calle Velazquez, 136, 28006 Madrid España","['7', '7', '28', '63', '38']",
Lady Macao,18,"4,5",2123,,"['Mediterránea', ' Asiática', ' Fusión']",,"C/ Palas Del Rey, N 38 Las Tablas, 28050 Madrid España","['0', '0', '0', '5', '12']",
The Tuna House,43,"4,5",2124,"['20', '60']","['Japonesa', ' Sushi', ' Asiática', ' Fusión']","['Cenas', ' Comidas']","Calle del Pintor Juan Gris 5, 28020 Madrid España","['2', '0', '3', '9', '19']",
Casa Mono,859,"3,5",2125,"['35', '50']","['Mediterránea', ' Española']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle Tutor, 37, 28008 Madrid España","['89', '76', '178', '286', '133']",
ROOTS Lamarca,117,"4,0",2126,"['5', '13']","['Saludable', ' Café', ' Internacional']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle de Fernando VI 10 Local 4, 28004 Madrid España","['12', '8', '4', '11', '50']",
El Rececho,36,"4,5",25,,"['Mediterránea', ' Española', ' Asador', ' Saludable']",,"Calle del Mazo 1 Restaurante, 28923 Alcorcón España","['3', '1', '1', '4', '27']",
Señorio de Fuenlabrada,55,"4,5",12,"['9', '24']","['Española', ' Mediterránea']","['Opciones vegetarianas', ' Opciones sin gluten']","plaza de la albufera 1 y 2, 28945 Fuenlabrada España","['1', '4', '6', '8', '35']",
Chambao Madrid,71,"4,0",2080,"['33', '44']","['Restaurante de carne', ' Asador', ' Bar', ' Marisco', ' Pub']","['Cenas', ' Comidas', ' Abierto hasta tarde', ' Bebidas']","Paseo De La Castellana #4, Bj Local-1, 28046 Madrid España","['3', '7', '3', '11', '29']",
Ohe poke raw,24,"5,0",2145,"['9', '15']","['Hawaiana', ' Japonesa', ' Comida rápida']","['Opciones vegetarianas', ' Opciones veganas']","Calle Hermosilla 65, 28001 Madrid España","['0', '0', '1', '1', '19']",
Chantarella,140,"4,0",2146,"['9', '30']","['Mediterránea', ' Española']","['Opciones vegetarianas', ' Opciones sin gluten', ' Opciones veganas']","Avenida Alberto Alcocer 32 Entrada por Condes del Val, 28036 Madrid España","['9', '8', '15', '47', '59']",
